index,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
1,s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries
2,s2,TV Show,Blood & Water,null,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
3,s3,TV Show,Ganglands,Julien Leclercq,null,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
4,s4,TV Show,Jailbirds New Orleans,null,null,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV"
5,s5,TV Show,Kota Factory,null,India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies"
6,s6,TV Show,Midnight Mass,Mike Flanagan,null,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
7,s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",null,"September 24, 2021",2021,PG,91 min,Children & Family Movies
8,s8,Movie,Sankofa,Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies"
9,s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV"
10,s10,Movie,The Starling,Theodore Melfi,United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas"
11,s11,TV Show,"Vendetta: Truth, Lies and The Mafia",null,null,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
12,s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,null,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
13,s13,Movie,Je Suis Karl,Christian Schwochow,"Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies"
14,s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,null,"September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies"
15,s15,TV Show,Crime Stories: India Detectives,null,null,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
16,s16,TV Show,Dear White People,null,United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas"
17,s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",null,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies"
18,s18,TV Show,Falsa identidad,null,Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
19,s19,Movie,Intrusion,Adam Salky,null,"September 22, 2021",2021,TV-14,94 min,Thrillers
20,s20,TV Show,Jaguar,null,null,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
